tsrna_id_id,tsrna_type_id,tsrna_type_1_id,tsrna_type_2_id,Isotype_Anticodon_id,Seq_Length_id,disease_id,organ_id,icd_id,icd_1_id,icd_2_id,tsrna_pca_0,tsrna_pca_1,tsrna_pca_2,tsrna_pca_3,tsrna_pca_4,tsrna_pca_5,tsrna_pca_6,tsrna_pca_7,tsrna_pca_8,tsrna_pca_9,tsrna_pca_10,tsrna_pca_11,tsrna_pca_12,tsrna_pca_13,tsrna_pca_14,tsrna_pca_15,tsrna_pca_16,tsrna_pca_17,tsrna_pca_18,tsrna_pca_19,tsrna_pca_20,tsrna_pca_21,tsrna_pca_22,tsrna_pca_23,tsrna_pca_24,tsrna_pca_25,tsrna_pca_26,tsrna_pca_27,tsrna_pca_28,tsrna_pca_29,tsrna_pca_30,tsrna_pca_31,motif_pca_0,motif_pca_1,motif_pca_2,motif_pca_3,motif_pca_4,motif_pca_5,motif_pca_6,motif_pca_7,motif_pca_8,motif_pca_9,motif_pca_10,motif_pca_11,motif_pca_12,motif_pca_13,motif_pca_14,motif_pca_15,motif_pca_16,motif_pca_17,motif_pca_18,motif_pca_19,motif_pca_20,motif_pca_21,motif_pca_22,motif_pca_23,motif_pca_24,motif_pca_25,motif_pca_26,motif_pca_27,motif_pca_28,motif_pca_29,motif_pca_30,motif_pca_31,disease_pca_0,disease_pca_1,disease_pca_2,disease_pca_3,disease_pca_4,disease_pca_5,disease_pca_6,disease_pca_7,disease_pca_8,disease_pca_9,disease_pca_10,disease_pca_11,disease_pca_12,disease_pca_13,disease_pca_14,disease_pca_15,disease_pca_16,disease_pca_17,disease_pca_18,disease_pca_19,disease_pca_20,disease_pca_21,disease_pca_22,disease_pca_23,disease_pca_24,disease_pca_25,disease_pca_26,disease_pca_27,disease_pca_28,disease_pca_29,disease_pca_30,disease_pca_31,label
109,1,1,2,40,19,11,9,3,2,17,-0.26215097319036273,-0.713840475391137,0.4962815332316804,0.08679355949928262,0.05566352556741185,0.018312684225271124,0.0316551638503047,-0.011037463070320382,-0.013244646838857238,-0.008541405349080062,-0.015717588506002182,0.021668211919778135,3.2615553418165337e-18,-1.8239745238574105e-17,-0.004477057477306617,-0.0029571065907654233,-0.026705521037797463,0.0024386844328769357,0.004223943367779341,0.0002728207396600521,-0.00732239109318857,-2.1019939847681077e-16,0.0022042904558518973,0.001200154277384986,-0.014876941036498796,-0.02055598108539257,-0.04365237624450114,0.016961151653836697,0.000725488548314924,-0.011594348853773901,-0.04531844271602762,0.0015172045001380196,0.0011169298086315393,10.15375804901123,6.719908560626209e-05,-0.00020445234258659184,-0.614652156829834,-0.04705381765961647,-0.0025354395620524883,-0.0011241543106734753,0.00954115204513073,0.00019937215256504714,0.00043468442163430154,0.001411600154824555,-0.0030605753418058157,-0.5513963103294373,2.9905107021331787,0.006791366264224052,0.00019297876860946417,-4.173816705588251e-06,-4.324172550695948e-06,1.1142752555315383e-05,1.9642142433440313e-05,-0.0007905596867203712,-0.009794943034648895,-1.3379918527789414e-05,0.0003915466368198395,0.0005163879250176251,-0.041169989854097366,0.0004718021664302796,-7.861465564928949e-05,2.13755464553833,0.016738375648856163,0.01567954383790493,0.02275972988844827,0.5352913838144825,5.241644450541158,0.18254151560198187,0.05576503609850037,0.07573836365766964,0.062369819729935744,-0.03788097765202855,-0.03808125764152625,-0.012774071906151338,-0.031140937219190697,-0.05899679733422969,6.118829799797333e-16,1.6656814455003836e-15,-0.028211685185302128,0.016342497232073618,-0.056470876669676366,0.009247528534567322,0.001346668443195871,0.021626943720475023,-0.0044123157131976684,5.551115123125783e-16,0.002423546607965826,0.0012032287602575934,0.038754518890209935,-0.05015524737387181,0.04035845872367216,-0.049419039871984684,-0.006436174107618301,0.011589187937675344,-0.0681720954315361,0.0168460028705961,1
64,6,0,1,13,16,18,23,3,2,10,-0.26215097319036273,-0.713840475391137,0.4962815332316804,0.08679355949928262,0.05566352556741185,0.018312684225271124,0.0316551638503047,-0.011037463070320382,-0.013244646838857238,-0.008541405349080062,-0.015717588506002182,0.021668211919778135,3.2615553418165337e-18,-1.8239745238574105e-17,-0.004477057477306617,-0.0029571065907654233,-0.026705521037797463,0.0024386844328769357,0.004223943367779341,0.0002728207396600521,-0.00732239109318857,-2.1019939847681077e-16,0.0022042904558518973,0.001200154277384986,-0.014876941036498796,-0.02055598108539257,-0.04365237624450114,0.016961151653836697,0.000725488548314924,-0.011594348853773901,-0.04531844271602762,0.0015172045001380196,0.008489483036100864,0.17947298288345337,-0.00019718683324754238,0.0020607812330126762,3.1292061805725098,5.000253677368164,-0.005389247089624405,-0.003930143546313047,-0.36527085304260254,-0.0029814601875841618,-0.009408403187990189,-0.013042528182268143,-0.0023307958617806435,0.022046541795134544,0.07266244292259216,-0.016102036461234093,-0.0015810924815014005,-0.00015534256817772985,-2.2700058252667077e-05,5.2769923058804125e-05,-0.00013968400890007615,-0.01603466086089611,-0.16543246805667877,7.240247214213014e-06,-0.0006480749580077827,-0.0008162532467395067,-0.16476750373840332,-0.0004848577082157135,-0.0010313917882740498,0.23178724944591522,-0.00827191211283207,-0.0121773025020957,-0.14700922548001877,-0.1204420672466723,0.1106383046653286,-0.05186133827484567,-0.008930296945595448,-0.07357957704992416,-0.07919344527988555,0.10526098667735694,0.14613629665132105,0.10666380635086313,0.042562664343631186,0.2874231992109364,-6.860312994286663e-15,-1.241612546875541e-14,0.09201139176466497,-0.043849780464959305,0.08759854814469065,-0.005423520866186598,0.03487999392475568,-0.0646426842840611,-0.01980431781381309,-7.632783294297951e-17,0.0032396043066396946,-0.002614835432609789,-0.0771236315572863,0.029696898280113727,-0.0012110100807964158,-0.037637343904093026,-0.035575826646270625,-0.009119250111060509,-0.03496994614732782,0.02197488039038695,0
92,1,1,2,25,18,9,16,3,3,27,0.8613902527669809,0.11789839295590578,0.24030849008306737,-0.037206584687115934,-0.06182467030216781,-0.004675599222053785,-0.0027689395396065884,-0.0687273187948585,0.018497277392901003,0.005654614617774884,-0.005812274886526184,-0.006623771875129263,1.3353805462249575e-15,2.176796074201258e-15,0.0013125210870707233,-0.03313718086737728,0.008422827578999616,0.01743165052978024,0.09507593720737785,-0.2729736585342496,-0.1291593440400197,-7.095370992232496e-14,0.6512316548913528,-0.5668339322806176,0.21616514887717161,-0.12293182135227715,-0.023561598090294178,-0.039839070039427577,-0.03785960613077869,-0.04038605551524746,0.009281702419693803,-0.025086495765167624,0.06428639590740204,-3.7122703361092135e-05,5.726059913635254,-4.321533197071403e-06,9.216475882567465e-05,2.2640764655079693e-05,-8.153597264026757e-07,-9.148078970611095e-05,-0.0061481911689043045,-7.850136898923665e-05,0.2344927191734314,0.0008318372420035303,0.1391696333885193,-0.0005518606631085277,8.767182589508593e-05,-0.013741603121161461,0.024385055527091026,-6.608648982364684e-05,-0.0003192551666870713,2.0399869754328392e-05,0.00018876817193813622,-0.08149897307157516,0.010189464315772057,-0.0005842602113261819,-0.001424758112989366,1.4923914670944214,0.001139206113293767,0.05874090641736984,1.529742956161499,-0.012626114301383495,-0.0015636264579370618,-0.024960270151495934,0.02388393008321196,-0.15041634633741238,-0.09723202462779744,-0.07718242638062095,-0.1364632470241062,-0.08928794713277056,-0.08396879127466046,-0.12275311148212063,0.01616572481096064,-0.03409313163386108,-0.034422766092357775,0.022488909055610174,1.1030890389079081e-14,2.110996280930078e-14,0.05645439343326142,-0.01865167149392208,0.05024878842180258,0.057918855528353276,0.2546969755852735,-0.33964134051481487,-0.4069202102064868,-1.573636647421786e-13,1.1761323629972595,-1.277048952495446,0.695405657207098,0.013867502584644864,0.024690361289989544,0.0338146935998968,0.04467307958648969,-0.0022106833461649844,0.0024668664735655833,0.02316359957572438,1
33,6,0,3,14,9,28,14,3,5,33,-0.1044087851373197,-0.012382145817941672,-0.25664613445056245,-0.1407136109343498,-0.39572209145806414,0.833468275354495,0.28547740009893563,0.2064064698338645,0.364119730708205,-0.4859524496237511,-0.0373543996225087,-0.03501831750408809,-4.651662172983557e-15,-3.306175880738486e-14,0.5593432994839056,-0.31514506427018624,-0.08790618161400222,0.029974504358367182,-0.14318804938724922,0.1532626009851418,0.03041854110369934,6.201711628028117e-16,-0.004490172146655075,-0.0010786449281443707,0.06601756281319215,-0.08018530027697862,-0.032722336197320304,-0.10019909240996963,0.018098038941059286,0.001030998001908458,0.0001237088626913121,-0.0024193791744005605,6.079916000366211,-0.0006013671518303454,-0.04052837938070297,4.389884452393744e-06,-0.00045563536696136,-0.013327289372682571,1.721826265566051e-05,0.0023251380771398544,-0.106076180934906,0.00016498492914251983,0.17596697807312012,0.007049496751278639,1.1080976724624634,-0.0010369322262704372,-0.0009614114533178508,0.4791167676448822,-0.010150562971830368,0.001390539575368166,0.02299034222960472,-4.371482282294892e-05,-3.160760388709605e-05,5.2466139793396,-0.7210521101951599,2.5785364414332435e-05,-0.00019389684894122183,-0.056288301944732666,0.005546523258090019,0.34008723497390747,0.1002563014626503,-0.006342360749840736,-0.0024965968914330006,-0.0023666243068873882,-0.14828420823134097,-0.13195379591539755,-0.08341798965031967,-0.04474165850662391,-0.09562132241697001,-0.06826733020534043,-0.062374884986910656,-0.0636779487505041,0.0027044644717505715,-0.023026850933922736,-0.018121920408327767,0.010339152071100963,-4.58586591329366e-16,1.0569159379936189e-16,0.031257562976167934,-0.016812601344095915,0.011561171991956658,0.014610754108263471,0.0669641352458958,-0.07428496839765066,-0.035656740234972284,-1.5211688187467866e-15,0.005206431715648941,0.00232395740164675,-0.10233776922053704,0.014931442295391988,-0.015269659699808272,-0.02365694225023477,-0.03728056278266937,-0.014143589694109702,-0.008460199081967813,0.015100680769261701,0
203,5,0,24,0,4,4,6,3,3,22,0.48009649195475634,0.8643354840119355,0.525501382599785,0.9083831452117773,0.4519438651982693,0.05736083455452183,0.18147809253967115,0.06272484112320263,0.024103909215430493,-0.005944025717200958,0.03192500505750335,-0.034208513412468305,-5.159394634823351e-16,-3.697549110630873e-15,-0.02309610414197647,-0.04554334002872448,-0.029828750668581608,-0.01522354490623636,-0.06804616788539558,0.08831703571828274,-0.07307599737630564,3.569248617048633e-15,-0.03374055360278465,-0.014662052163983634,0.002938210541219605,-0.05358861166673941,-0.011567607505319351,-0.017978649880352363,-0.019403757072652756,-0.03435544287571513,0.00841966079385399,-0.04442361405418078,4.49464430118951e-08,1.374027220890639e-07,6.475217873003203e-08,2.4042778022703715e-05,4.295857706893003e-06,1.124309164879378e-05,1.705261070128472e-07,6.325076924440509e-07,-1.6649395547574386e-05,0.0008898774394765496,-1.2004187738057226e-05,0.011608991771936417,-7.397719309665263e-05,-3.0001465347595513e-06,-4.271161742508411e-06,-0.000939897377975285,0.0005390734295360744,0.4152662754058838,-6.92651610734174e-07,5.56923123440356e-06,0.0001709031785139814,6.467026878453908e-07,-7.949601422296837e-05,-1.09342818177538e-05,6.52791690826416,0.0005083356518298388,-8.894626080291346e-05,0.0002903587301261723,2.8652488254010677e-05,-0.00016411404067184776,3.155430385959335e-05,-2.408826730970759e-05,5.836710985400509,-0.09302927552319726,-0.08891321318320321,-0.34293464721622874,-0.1938656921843966,0.06538501889949037,0.061647230931127006,-0.07075965070737907,0.03549915640679966,0.03377349201696893,0.01772428346068842,-0.005306131596362123,-6.798699777552593e-16,-1.2237659599594655e-15,-0.04703388385689826,0.047284527654623675,0.026242505475597293,0.015450673605877248,0.018334840902085578,0.013499222307688592,-0.005199661943682967,4.428256540443873e-15,-0.03366299536029848,0.03928519636021453,-0.005558021666044694,-0.0441376344806521,0.005062147004123413,0.007006656446219605,0.013137479053991824,0.027047374067879947,0.010547338662085248,-0.056737375812952115,1
66,6,0,1,14,16,36,28,3,4,31,0.8868173896286428,0.11985802927820839,0.23593491673201483,-0.04850047906976187,-0.09073461501212753,-0.021677123541977247,-0.04450170632366353,-0.14002325968799936,0.03120042656524111,-0.006552100842082303,-0.05932259865848427,-0.05241984303812839,-3.2661403431365025e-16,-5.859416244649747e-16,0.272490866115727,0.9183728531271955,-0.2995327225538397,-0.09927923019615494,-0.27860779090846294,0.254258996360869,0.0465438729554496,2.4148149833547026e-15,-0.019302607680112438,0.00793272131122303,0.07711524727419936,-0.1413860227119188,-0.04703054119136081,-0.09485762824416277,-0.4939816776380444,0.2591180963308657,-0.0421614807624058,0.07127384662057977,9.556463241577148,-0.0012372724013403058,-0.0975712239742279,-1.3227859199105296e-06,-0.00292206765152514,-0.01155809685587883,8.81204687175341e-06,0.0026212316006422043,0.007494641933590174,0.0006515709101222456,-0.9392164945602417,0.005324319005012512,1.6455910205841064,-0.005561407655477524,0.00029398867627605796,0.03298801928758621,-0.0034258218947798014,0.0003117747255600989,0.007514340337365866,-3.19502578349784e-05,1.5483210518141277e-06,2.0385024547576904,-0.29505500197410583,-3.9975118852453306e-05,6.736922659911215e-05,0.020113110542297363,-0.008636279962956905,-1.666443943977356,0.07943739742040634,-0.0015731272287666798,-0.0016252206405624747,-0.0006457323906943202,0.02179601574846173,-0.13510945662096235,-0.08664505288448021,-0.06410704282222773,-0.10874652203823243,-0.06147929470554405,-0.05537808836843887,-0.07319949114782652,0.008393562810180577,-0.017571161319753188,-0.014744468342595095,0.009302028651803056,4.419154855409185e-16,-1.1897724610717026e-16,0.021569738131738757,-0.006783226397578793,0.01729746479809413,0.01814729604427394,0.07136334077055856,-0.07072219109129164,-0.037231378946846465,7.216449660063518e-16,-0.006072501998883869,0.015578770070186166,-0.10446876490732393,-0.0035922005534974035,-0.012713420073246088,-0.01994388304906964,-0.029964116234928763,0.0016657984520344607,-0.002038767245873686,-0.02076959951145375,0
205,5,0,24,10,4,44,24,3,3,18,-0.04592664202679755,-0.0031647631036820743,-0.15057015271390783,-0.09174733081365137,-0.11861464372656368,-0.1259269045501977,-0.45471058263319114,0.6602533743194041,-0.32206110789865405,-0.20343597248516565,-0.047527078735607374,0.230535668181611,-2.8746196788804825e-16,2.0552297496159075e-16,-0.05321269792040367,-0.03330891481771092,-0.2537228022838997,0.020064610463083117,0.03128411413288583,-0.002769373608357769,-0.05400127782336747,-1.83491785832581e-15,0.015786646882571247,0.00801839143220991,-0.12212271051802015,-0.08197824077017758,-0.022640054947981467,-0.00957773899883627,-0.011420334422590283,-0.013256516061838999,-0.006789472300061302,-0.00307166765783989,1.9937796205682368e-11,1.749934086525684e-10,-3.9951600361298745e-10,0.00016776970005594194,-5.405196645824617e-08,-3.834019679516132e-08,1.3411250998629498e-09,-1.5958688592832004e-08,-2.8619089675885334e-07,0.00025691368500702083,1.0990795118459573e-07,-4.484666351345368e-05,4.415223031628557e-08,-1.9500774328662374e-07,-3.728806916569738e-07,6.143465611785359e-07,6.971685593271104e-07,1.7204436630890996e-07,9.135632694778906e-07,-5.437381105366512e-07,7.661243580514565e-05,4.2571828089421615e-06,-9.91311139841855e-07,-4.2516621761024e-06,3.7024410630692728e-06,2.2443060515797697e-05,-9.049344953382388e-06,3.592684515751898e-05,1.148438241216354e-05,-2.546574432926718e-05,0.00012930225057061762,0.0013834795681759715,0.028062840132782364,0.05715929585836815,-0.13617721512187436,-0.15932008919050353,-0.051200662870637466,-0.40552297536883314,-0.48495334873645857,2.3235043920002068,-0.9139490278957793,-0.40538618377037566,-0.054732246885329884,-0.6096062900153366,1.0503991156318756e-14,1.8288502401616456e-14,-0.265282496747124,0.1421537425767377,-0.5211978490759375,0.10174651738073501,0.10924606677386473,0.04920291281844904,-0.09311512978339766,-3.2751579226442118e-15,0.026716294159009144,0.011777194747085587,0.009799165775631854,-0.2963116901935919,0.01705873553614756,-0.008929222478664938,0.0050629969707118435,0.005603375004478973,-0.012303940326348451,0.0007086820769960937,1
93,1,1,2,28,18,44,24,3,3,18,-0.04592664202679755,-0.0031647631036820743,-0.15057015271390783,-0.09174733081365137,-0.11861464372656368,-0.1259269045501977,-0.45471058263319114,0.6602533743194041,-0.32206110789865405,-0.20343597248516565,-0.047527078735607374,0.230535668181611,-2.8746196788804825e-16,2.0552297496159075e-16,-0.05321269792040367,-0.03330891481771092,-0.2537228022838997,0.020064610463083117,0.03128411413288583,-0.002769373608357769,-0.05400127782336747,-1.83491785832581e-15,0.015786646882571247,0.00801839143220991,-0.12212271051802015,-0.08197824077017758,-0.022640054947981467,-0.00957773899883627,-0.011420334422590283,-0.013256516061838999,-0.006789472300061302,-0.00307166765783989,0.10998442769050598,0.010281229391694069,-0.0021836059167981148,0.00017495428619440645,0.3719349205493927,0.7626436352729797,-0.0019768967758864164,-0.00642520934343338,10.588966369628906,0.015550930984318256,0.3117885887622833,0.021267715841531754,0.021702613681554794,-0.2568301558494568,-0.021838748827576637,0.012351796962320805,-0.0005706279189325869,-0.00023409753339365125,0.0008853576146066189,1.057552799466066e-05,-3.6046116292709485e-05,0.06861812621355057,-0.012575779110193253,-2.7988178771920502e-05,-0.00024266651598736644,-0.0010226129088550806,0.009417355060577393,0.02354312688112259,-0.0005539427511394024,-0.020548328757286072,-0.0024666644167155027,-0.0032276019919663668,0.028062840132782364,0.05715929585836815,-0.13617721512187436,-0.15932008919050353,-0.051200662870637466,-0.40552297536883314,-0.48495334873645857,2.3235043920002068,-0.9139490278957793,-0.40538618377037566,-0.054732246885329884,-0.6096062900153366,1.0503991156318756e-14,1.8288502401616456e-14,-0.265282496747124,0.1421537425767377,-0.5211978490759375,0.10174651738073501,0.10924606677386473,0.04920291281844904,-0.09311512978339766,-3.2751579226442118e-15,0.026716294159009144,0.011777194747085587,0.009799165775631854,-0.2963116901935919,0.01705873553614756,-0.008929222478664938,0.0050629969707118435,0.005603375004478973,-0.012303940326348451,0.0007086820769960937,1
79,1,1,2,15,17,53,27,4,10,40,-0.2585093552095449,-0.7109098519026815,0.5435878917257064,0.08768958735756226,0.05069438529595565,-0.008361253742650855,-0.05841302481929348,0.12042076906043499,-0.1289767496170388,-0.10774365437978817,-0.08327847615222864,0.22343590216699502,4.298259772986077e-15,2.985830309911495e-14,-0.004664826714522674,0.014007992150733907,0.36666937623406776,-0.041868453527006654,-0.13588969849862756,0.16273419074685494,0.2048059823514723,4.380911550770741e-15,-0.030385881696583406,-0.01147993830255229,0.6058589219413769,0.3110483966691081,0.04230461100641305,0.049580597423053846,0.03837962778258748,0.04894198750656477,-0.02429252829173973,0.05239341724729284,6.805595874786377,-0.0013068221742287278,-0.054196763783693314,-1.3381176358961966e-05,-0.007938113063573837,-0.0009063874604180455,9.252725021724473e-07,-0.0015259614447131753,0.03534983471035957,-0.0002477468806318939,0.13639222085475922,-0.003598536131903529,-0.49460214376449585,0.0003588371619116515,0.0004638204409275204,-0.23281309008598328,0.0025253938511013985,-0.0006202273652888834,-0.009830743074417114,5.940180017205421e-06,3.6321700463304296e-05,-1.7633217573165894,0.2273787260055542,-1.3638153177453205e-05,0.0002518590772524476,0.09986872225999832,-0.013086240738630295,-2.0295755863189697,-0.14483441412448883,0.009052208624780178,0.0033152359537780285,0.005913033150136471,-0.14828420823134103,-0.1319537959153976,-0.08341798965031966,-0.04474165850662393,-0.09562132241696995,-0.06826733020534043,-0.0623748849869106,-0.06367794875050423,0.0027044644717506092,-0.02302685093392277,-0.018121920408327694,0.010339152071100921,2.3795449221434073e-16,3.2293823943374785e-16,0.031257562976167844,-0.016812601344095977,0.011561171991956729,0.014610754108263544,0.06696413524589577,-0.07428496839765056,-0.03565674023497218,-1.7486012637846216e-15,0.005206431715649097,0.002323957401646655,-0.1023377692205374,0.014931442295391681,-0.015269659699807769,-0.02365694225023529,-0.03728056278266971,-0.014143589694109934,-0.008460199081967656,0.015100680769261321,0
184,5,0,24,8,8,12,11,6,7,35,-0.45926123596353496,0.6987113391533804,0.4012098179871318,-0.0014499834929370314,0.05628626696365804,-0.06489948036020483,-0.009243364084082207,-0.07466580285385996,0.022936195432770264,-0.05509004703804589,0.005940648111569952,-0.06618318048458972,4.757271335167743e-16,1.2963020686474205e-15,0.026652226766955594,0.018032177194525944,0.009549448700532875,-0.011122423273219361,0.020312043732938052,-0.32118610733475617,-0.10085480540593383,-3.3395716011114586e-14,0.3623909438069323,0.7628378491805592,0.22191892847299174,-0.1243014885470141,-0.023390411827031363,-0.03937255548271612,-0.03902343817840924,-0.03732975717314583,0.008824775551058383,-0.01270862428688809,7.700247550701533e-09,6.994049499553512e-07,2.2249906805882347e-08,0.1556965410709381,7.322782948904205e-06,0.00011428618745412678,-1.1484794271154897e-07,5.1115612222929485e-06,-0.0018818750977516174,1.5268120765686035,0.0008640752639621496,-0.19925270974636078,0.0005549654015339911,1.1933816495002247e-05,5.73980560147902e-06,0.0004819688620045781,-3.689365985337645e-05,0.0024305302649736404,1.7465577002440114e-06,-1.7773535887499747e-07,5.066910266876221,-1.686102223175112e-05,-3.9301485230680555e-05,3.062858377234079e-05,-8.557856926927343e-05,-2.9478011128958315e-05,-2.9312623155419715e-05,-0.00014785898383706808,0.0005174485850147903,0.011739963665604591,0.00807705707848072,-2.4882760047912598,-0.15675669336960069,-0.12207815738980014,0.1151862938845297,-0.038817645348833286,-0.10622996455012296,-0.07623289286090547,-0.0715338882875152,-0.09409972723876374,-0.0050015345013278536,-0.037065189269964084,-0.038869571751719366,-0.001957389934656705,6.564994472699222e-16,1.0229918571536157e-15,0.043272998368505594,-0.023179168155427497,-0.001390621241236986,0.030850193616545382,0.1293671799806055,-0.14524405138925087,-0.0938120613458056,-4.052314039881821e-15,0.01824374374500435,0.008394591089263985,-0.3751531340035579,-0.038082660714859926,-0.5139573507428301,0.8326187453624326,0.3590059485959284,0.043603468023337116,0.2295749540885836,-0.09738224709678976,0
