tsrna_id_id,tsrna_type_id,tsrna_type_1_id,tsrna_type_2_id,Isotype_Anticodon_id,Seq_Length_id,disease_id,organ_id,icd_id,icd_1_id,icd_2_id,tsrna_pca_0,tsrna_pca_1,tsrna_pca_2,tsrna_pca_3,tsrna_pca_4,tsrna_pca_5,tsrna_pca_6,tsrna_pca_7,tsrna_pca_8,tsrna_pca_9,tsrna_pca_10,tsrna_pca_11,tsrna_pca_12,tsrna_pca_13,tsrna_pca_14,tsrna_pca_15,tsrna_pca_16,tsrna_pca_17,tsrna_pca_18,tsrna_pca_19,tsrna_pca_20,tsrna_pca_21,tsrna_pca_22,tsrna_pca_23,tsrna_pca_24,tsrna_pca_25,tsrna_pca_26,tsrna_pca_27,tsrna_pca_28,tsrna_pca_29,tsrna_pca_30,tsrna_pca_31,motif_pca_0,motif_pca_1,motif_pca_2,motif_pca_3,motif_pca_4,motif_pca_5,motif_pca_6,motif_pca_7,motif_pca_8,motif_pca_9,motif_pca_10,motif_pca_11,motif_pca_12,motif_pca_13,motif_pca_14,motif_pca_15,disease_pca_0,disease_pca_1,disease_pca_2,disease_pca_3,disease_pca_4,disease_pca_5,disease_pca_6,disease_pca_7,disease_pca_8,disease_pca_9,disease_pca_10,disease_pca_11,disease_pca_12,disease_pca_13,disease_pca_14,disease_pca_15,disease_pca_16,disease_pca_17,disease_pca_18,disease_pca_19,disease_pca_20,disease_pca_21,disease_pca_22,disease_pca_23,disease_pca_24,disease_pca_25,disease_pca_26,disease_pca_27,disease_pca_28,disease_pca_29,disease_pca_30,disease_pca_31,label
201,5,0,24,31,5,3,1,3,3,28,-0.061166157130481534,-0.03809974191181744,-0.1844154427543085,-0.07046401370980282,-0.14675329809471455,-0.07072405874738398,-0.15247464682158876,-0.1624480394193928,0.00967216835569929,-0.042718251796117324,-0.1854603909855568,-0.22745790325548262,-0.4963628742487379,-0.6482982058699511,-0.26431325051015625,-0.14762786300633723,-0.06847012592126707,-0.03707395565236065,-0.15045874060421252,0.13563619576711847,-0.0024968712762093804,0.046167244033707734,1.1329131792268082e-15,-0.004019209217708811,-0.0018557197155564496,0.03890457827167581,-0.038233986150329836,-0.016829638835136166,-0.014419119167829779,-0.013631604211266982,0.0038984665530601872,-0.004767998482686688,-0.6760543584823608,-0.6480157375335693,-0.34265005588531494,-0.3548608422279358,-0.20038747787475586,-0.3434236943721771,-0.3105646073818207,-0.027694178745150566,-0.033984772861003876,-0.06826432794332504,-0.14569419622421265,-0.039124537259340286,-0.0967106893658638,-0.15199951827526093,-0.18419858813285828,-0.1186872273683548,-0.17340687356322942,-0.15863155593141448,-0.10220508854829748,-0.06225001095475815,-0.14413061347799733,-0.14146239352815446,-0.14322432737192498,-0.19221870552109696,0.013656761247980542,-0.1178834132830636,-0.3775864187296488,0.455771888008182,-0.9377279204170236,1.7665407856232265,-1.0532509699050883,0.27538125720695933,-0.12435898719863513,-0.10884877350648559,0.3400910130253069,0.20049473051020703,0.0036516007323331504,0.0736683886142807,3.655591869330443e-15,-0.0077503090974225235,-0.0033901616008759653,0.1188247786110111,-0.005515245093007659,0.022450471739724823,0.019064599948295277,0.007165203143467563,0.0045134891484619214,-0.007316499991344758,1
189,5,0,24,15,8,23,5,3,1,2,-0.06057061293445673,-0.0586892383755844,-0.12226467422974485,-0.04501855078265828,-0.09097689262785325,-0.03333491264282813,-0.06029221957826366,-0.06054983695413442,-0.001204808835288231,-0.01220111635024117,-0.01754548011313274,0.001721265260611296,-3.062061254200739e-16,2.9331174129008317e-16,0.01465917452556719,0.015003488032641782,-0.0038736144312643416,0.010942045224405452,0.07065887917014495,-0.20959404982418717,-0.11480837590121337,0.276085572432808,2.237140658429938e-15,-0.007478265646470393,-0.0034921155859041516,0.019405728169040622,-0.0022775820993689907,0.0007394755390776826,0.0014580016451850731,-5.499310264803533e-05,-0.007172663554303747,0.0009649423479305296,-0.7397482395172119,-0.7422114014625549,-0.42467379570007324,-0.4666915535926819,-0.27121931314468384,-0.49563971161842346,-0.48881861567497253,-0.05777588486671448,-0.06617098301649094,-0.15055744349956512,-0.33181706070899963,-0.09572912752628326,-0.23427948355674744,-0.39415377378463745,-0.5611706376075745,-0.39810141921043396,-0.1525890212605904,-0.1363527634477347,-0.08680890947602041,-0.04734770285467669,-0.10226918568474574,-0.07592360820528314,-0.06989043081732439,-0.07272745511197483,0.0032314894377805234,-0.027048952103032146,-0.022107904254726054,0.012866753609558523,-1.3384940187056673e-16,1.1897724610717036e-16,0.039233324154101974,-0.021123224284498438,0.014790885176514605,0.020352143609503465,-0.08665633116576715,-0.08352880927732985,-0.0025218671031434197,-0.059389709918792034,-2.8865798640254066e-15,0.00787545328063713,0.003515417680496883,-0.19748030195745206,0.010452223495510187,-0.07151956062852607,-0.07528502218213802,-0.03313548828692756,-0.023097346710901145,0.04280654620759177,0
129,3,0,10,13,19,23,5,3,1,2,-0.09184174042774898,-0.005646523344154503,-0.20598145827301068,-0.11146594851957488,-0.3060575518428493,0.7140855807199243,0.2826773576514055,0.21136275311001476,0.1974952664668501,-0.2504723957486077,0.022101013952369287,0.015356610113441381,-1.772391001245882e-16,-1.8167648484266846e-15,-0.20391196980372117,0.09663122210954725,0.021070979008198373,-0.1102869490921797,0.03915861927787973,-0.018779100006507767,0.00034147100336757817,-0.004224899059228964,1.0523735181540797e-16,0.0011279211522112434,0.0024875534374655646,0.009332734464018893,-0.0309127785445051,-0.11405090529828395,0.06541434349041639,0.0379576215038813,-0.010573567152246175,0.009651237062032938,-1.247937798500061,-0.909594714641571,-2.05837345123291,1.722303867340088,9.427505493164062,1.7376431226730347,0.8742676973342896,0.06562066823244095,0.09363014250993729,0.36583399772644043,-0.0069023678079247475,0.028425607830286026,0.4015013575553894,-0.27228355407714844,0.01636550948023796,0.06237664073705673,-0.1525890212605904,-0.1363527634477347,-0.08680890947602041,-0.04734770285467669,-0.10226918568474574,-0.07592360820528314,-0.06989043081732439,-0.07272745511197483,0.0032314894377805234,-0.027048952103032146,-0.022107904254726054,0.012866753609558523,-1.3384940187056673e-16,1.1897724610717036e-16,0.039233324154101974,-0.021123224284498438,0.014790885176514605,0.020352143609503465,-0.08665633116576715,-0.08352880927732985,-0.0025218671031434197,-0.059389709918792034,-2.8865798640254066e-15,0.00787545328063713,0.003515417680496883,-0.19748030195745206,0.010452223495510187,-0.07151956062852607,-0.07528502218213802,-0.03313548828692756,-0.023097346710901145,0.04280654620759177,0
170,3,0,23,42,7,38,11,6,7,35,-0.061166157130481555,-0.03809974191181755,-0.18441544275430824,-0.07046401370980225,-0.1467532980947136,-0.0707240587473836,-0.15247464682158826,-0.1624480394193922,0.009672168355698915,-0.042718251796117414,-0.1854603909855553,-0.22745790325547377,0.8096241526356218,-0.1057137556598906,-0.26431325051016064,-0.14762786300633748,-0.06847012592126488,-0.037073955652360956,-0.1504587406042122,0.1356361957671181,-0.002496871276209365,0.04616724403370771,1.1202642180398205e-15,-0.004019209217708538,-0.0018557197155562588,0.03890457827167555,-0.03823398615032929,-0.016829638835136742,-0.014419119167830183,-0.013631604211266666,0.003898466553060186,-0.00476799848268687,-0.7240062952041626,-0.718122124671936,-0.40244239568710327,-0.4350106120109558,-0.250731885433197,-0.4496278762817383,-0.43143653869628906,-0.043894946575164795,-0.05712267383933067,-0.13669779896736145,-0.25521764159202576,-0.05867141857743263,-0.15238940715789795,-0.286334753036499,-0.3672885298728943,-0.2299119234085083,-0.17340687356322917,-0.1586315559314144,-0.10220508854829737,-0.06225001095475994,-0.1441306134779968,-0.1414623935281539,-0.14322432737192425,-0.19221870552109846,0.013656761247981625,-0.11788341328306576,-0.37758641872965826,0.45577188800809937,-1.061005236962522,-1.6953665937307256,-1.053250969905107,0.2753812572069065,-0.12435898719861614,-0.10884877350650439,0.34009101302529954,0.20049473051020636,0.0036516007323269812,0.07366838861428021,3.660266534311062e-15,-0.007750309097450043,-0.0033901616008808456,0.1188247786110105,-0.005515245093007341,0.02245047173972675,0.019064599948295534,0.007165203143468134,0.004513489148463012,-0.00731649999134536,1
24,6,0,4,3,5,23,5,3,1,2,-0.05343696575603034,-0.03250920797987637,-0.15124596360509476,-0.053076180331307544,-0.1007069338033095,-0.03776017798363755,-0.0686403093456045,-0.06033204032878061,0.0022891591563806986,-0.009935650957812668,-0.010792038460014778,-0.006262026197563065,-1.1967295731335173e-16,3.4075400722212324e-16,0.0143666683414053,0.013668463883923105,0.008647055518512888,0.0070325544257180276,0.043633625626298564,-0.07087814738870934,0.0017235368645335178,-0.035376400856243405,-1.9555376044598285e-15,0.004093842264613837,0.0019251557947222368,-0.06602890590936336,0.09527474600183229,0.0580346780675312,0.06256784004810005,0.06779525813375979,-0.019742623065009308,0.028945730465665665,-0.6770139336585999,-0.6494391560554504,-0.34394028782844543,-0.35676437616348267,-0.20168496668338776,-0.34740614891052246,-0.30267617106437683,-0.027775250375270844,-0.034107476472854614,-0.06852886080741882,-0.14631490409374237,-0.039302825927734375,-0.09719201177358627,-0.15280646085739136,-0.185304656624794,-0.11959927529096603,-0.1525890212605904,-0.1363527634477347,-0.08680890947602041,-0.04734770285467669,-0.10226918568474574,-0.07592360820528314,-0.06989043081732439,-0.07272745511197483,0.0032314894377805234,-0.027048952103032146,-0.022107904254726054,0.012866753609558523,-1.3384940187056673e-16,1.1897724610717036e-16,0.039233324154101974,-0.021123224284498438,0.014790885176514605,0.020352143609503465,-0.08665633116576715,-0.08352880927732985,-0.0025218671031434197,-0.059389709918792034,-2.8865798640254066e-15,0.00787545328063713,0.003515417680496883,-0.19748030195745206,0.010452223495510187,-0.07151956062852607,-0.07528502218213802,-0.03313548828692756,-0.023097346710901145,0.04280654620759177,1
237,4,0,0,41,1,21,13,3,2,15,-0.437018233572757,0.678025779016341,0.4016959087831421,0.007501052265485588,0.07310092244033259,-0.0444749583655809,0.017471641612816596,-0.03493405017276699,0.016307009160640405,-0.03681377696449377,0.010891122344035324,-0.04085432614518039,3.4067283074949297e-17,6.665452040083293e-16,0.0071925647567849796,0.001408611877264958,-0.0007401775287654746,-0.011708897990123746,-0.023924755548298576,-0.027797232739162223,-0.0010720344464946296,-0.00027601785670834287,1.4160318821940069e-15,-0.013011126918864514,-0.032260317796893555,-0.03544093258647897,0.007875673806747169,0.008374673166552514,0.003385135686219476,0.004295358681699645,-0.0004274545846971045,0.0016240707968744608,-0.6760523915290833,-0.6480152606964111,-0.3426499664783478,-0.3548606038093567,-0.20038768649101257,-0.343423992395401,-0.31056439876556396,-0.02769438549876213,-0.03398508578538895,-0.06826423853635788,-0.14569422602653503,-0.03912433609366417,-0.09671085327863693,-0.15199950337409973,-0.18419840931892395,-0.11868705600500107,-0.02125010107580184,5.399362139877862,-0.5921048896499073,-0.18320768357977774,0.12831072887585104,-0.15063104353834447,0.01634609793071348,-0.1023474288604226,0.035616340759268034,-0.09693654811884732,0.025792483285034456,0.10192496209472236,1.8526456893830826e-15,-1.971622935490252e-15,0.013981261825258138,0.004949281864476575,-0.004979937749790046,-0.030040015787754372,0.03806763670807638,-0.06989937293066335,-0.004430783574373906,0.014821996135442878,6.550315845288423e-15,-0.0277449613275609,-0.062086891086123,-0.03867144208244437,-0.03756055752973263,-0.006334599264375243,0.0029124246539085365,-0.0005253125090622244,0.0008665466561813928,0.0004176640717121265,1
110,1,1,2,40,19,11,9,3,2,17,-0.261813192655867,-0.7110875642428947,0.5007647043426423,0.08705836012620599,0.05640572767733333,0.01885872897253555,0.03256298185352095,-0.010065014114440652,-0.013222485485127718,-0.008175022911738446,-0.015004653408303245,0.021583454479620016,4.3032094563465845e-17,-3.1777259157578285e-16,-0.005228912948208902,-0.0037133483677232754,-0.026493328795538708,0.0017574310223711516,-0.0010796021346518134,0.022301922121040537,0.008942830568904105,-0.044915452757827476,-5.12514797653187e-16,0.0038587451001765396,0.0020144090426879157,-0.029284748367702316,-0.008772507677601127,-0.0015868825453306515,-0.0015137685510156784,-0.01170218600540028,-0.036472429926746756,0.0004142280977719564,-2.940258264541626,8.703064918518066,0.7776293158531189,0.052326835691928864,0.026988238096237183,0.167695090174675,0.09307855367660522,-0.033064864575862885,-0.06241893768310547,-0.19556322693824768,-0.8707093596458435,3.943159341812134,0.9452305436134338,0.4594663977622986,0.46564701199531555,-0.17883256077766418,0.02224921670221736,0.532775539917799,5.241642737931726,0.18292815670962345,0.056814543311207895,0.07689911877593261,0.06333366860195519,-0.036087328652786604,-0.037955505320625374,-0.011611974711478176,-0.02932399032087371,-0.058883914523026874,-3.909252372092743e-16,7.818504744185482e-16,-0.030854466867057326,0.017664614056787303,-0.056378550942007014,0.0064368823302656765,0.012689087474903687,0.04235895933919892,0.051530397221676176,-0.07228580921660047,-1.554312234475219e-15,0.007289827722990429,0.003395140100382739,-0.0039280200177781435,-0.05413065555664272,0.006093225299027983,0.010866314100871221,0.012035611311837745,-0.05726820379678149,0.007603722639290432,1
49,6,0,1,41,13,5,7,3,3,25,-0.261813192655867,-0.7110875642428947,0.5007647043426423,0.08705836012620599,0.05640572767733335,0.018858728972535575,0.03256298185352098,-0.01006501411444061,-0.013222485485127724,-0.008175022911738432,-0.015004653408303474,0.02158345447961999,4.303209456346551e-17,-3.1777259157578117e-16,-0.0052289129482088765,-0.0037133483677232538,-0.026493328795538704,0.001757431022371155,-0.0010796021346518084,0.022301922121040582,0.008942830568904108,-0.044915452757827413,-2.9443344919943945e-16,0.0038587451001766784,0.0020144090426879487,-0.029284748367702392,-0.008772507677601056,-0.0015868825453306187,-0.0015137685510156352,-0.011702186005400244,-0.03647242992674669,0.0004142280977719603,-0.6760523915290833,-0.6480152606964111,-0.3426499366760254,-0.3548605442047119,-0.20038770139217377,-0.343423992395401,-0.31056439876556396,-0.02769438736140728,-0.03398508578538895,-0.06826423853635788,-0.14569422602653503,-0.03912433609366417,-0.09671085327863693,-0.15199950337409973,-0.18419840931892395,-0.11868705600500107,-0.14814280893249343,-0.13172768470068075,-0.08365833562857042,-0.044674024311683116,-0.09534608458416242,-0.06804265667245384,-0.06195931022798733,-0.06294512008198985,0.0027136115604545204,-0.02267996864320751,-0.017895886312575767,0.010351850860383786,2.4592171851616033e-16,1.7846586916075556e-16,0.03115455947892614,-0.016643253999413056,0.011557778631908662,0.015694803550891,-0.06596351970529762,-0.06168341857237406,-0.0017726485145000276,-0.04091485116335093,-1.7273597417127917e-15,0.005236210677964431,0.0023292685647000396,-0.11857215162817174,0.006063520960787542,-0.03494870991405287,-0.033650910755970334,-0.013771306659387977,-0.009131728680886263,0.01578021704954759,0
220,5,0,24,17,3,7,4,3,2,9,-0.05348871218195567,-0.03255146188170218,-0.15153917823923227,-0.053267120588394105,-0.10128482039983822,-0.038225016810463044,-0.0697997480501915,-0.06164776697443796,0.0023613718059842213,-0.010252269984614214,-0.011299055137850072,-0.006574627681966976,-2.489953567153912e-16,8.224876530333697e-16,0.015202589545665854,0.014519328257262253,0.00921727138949708,0.007547128479418429,0.04735805679990687,-0.07918831645061361,0.001970934318509418,-0.04090969708324313,-8.404605036730925e-16,0.0049278994601294765,0.0023247565315981495,-0.09064485372716223,0.16063384908163067,0.14002985209117633,0.2641195127826558,0.6420877479778707,-0.22823539238370116,-0.2243535582075381,-1.0781245231628418,-1.6499629020690918,5.304963111877441,0.6919764280319214,0.2551179528236389,0.20986361801624298,0.07198698073625565,-0.02130868472158909,-0.01665741391479969,-0.03381865471601486,-0.14610382914543152,-0.11149539053440094,0.19568268954753876,0.10202744603157043,0.019031232222914696,-0.035390809178352356,-0.14814280893249296,-0.1317276847006806,-0.08365833562857115,-0.04467402431168335,-0.09534608458416284,-0.06804265667245347,-0.06195931022798654,-0.06294512008198985,0.002713611560454212,-0.02267996864320766,-0.017895886312575594,0.010351850860383564,9.188867668098431e-17,6.809322745955018e-16,0.031154559478925536,-0.016643253999413535,0.011557778631908891,0.015694803550890854,-0.06596351970529699,-0.06168341857237339,-0.0017726485144997303,-0.04091485116335062,-1.4849232954361467e-15,0.005236210677964635,0.002329268564700803,-0.11857215162817122,0.006063520960787991,-0.03494870991405274,-0.03365091075596963,-0.0137713066593876,-0.009131728680886481,0.015780217049547584,0
96,1,1,2,30,18,33,16,5,6,34,-0.261813192655867,-0.7110875642428947,0.5007647043426423,0.08705836012620599,0.05640572767733333,0.01885872897253555,0.03256298185352095,-0.010065014114440652,-0.013222485485127718,-0.008175022911738446,-0.015004653408303245,0.021583454479620016,4.3032094563465845e-17,-3.1777259157578285e-16,-0.005228912948208902,-0.0037133483677232754,-0.026493328795538708,0.0017574310223711516,-0.0010796021346518134,0.022301922121040537,0.008942830568904105,-0.044915452757827476,-5.12514797653187e-16,0.0038587451001765396,0.0020144090426879157,-0.029284748367702316,-0.008772507677601127,-0.0015868825453306515,-0.0015137685510156784,-0.01170218600540028,-0.036472429926746756,0.0004142280977719564,-1.287976861000061,1.742364764213562,-0.06586293876171112,-0.3993666172027588,-0.2288019359111786,-0.32252752780914307,-0.33727017045021057,-0.07565458863973618,-0.11700384318828583,-0.3155789077281952,-1.1786091327667236,4.368960380554199,0.9144675135612488,0.30600208044052124,0.24437829852104187,-0.1813974529504776,-0.16723096504387186,0.05863033220189499,-0.12313596104227145,-0.07634556557309376,-0.14178273651640758,0.349627470701031,0.053802606367013034,-0.03761461235565009,-0.1862725044005666,0.29021698263519535,0.00044659536293870545,-0.0021886262272632095,5.608927316480892e-16,-1.8271505652172592e-16,-0.003320361086282962,-0.03161206184307191,0.01007670263261426,0.12811782819248158,0.020102381840874546,-0.00887530064283171,-0.0007402311488958689,-0.009327693344671404,3.8857805861880474e-16,-0.0014153288869165866,-0.005914034587222139,-0.039900096762668105,-0.004397513261640183,0.00433998188476954,-0.06889232460309902,-0.012362376359230418,-0.006672278872336942,0.010604591636022306,0
